DokumentNr;Artikel;Bezeichnung;Klasse;KlasseBezeichnung;Gruppe;GruppeBezeichnung;Untergruppe;UntergruppeBezeichnung;Preis;Menge;Lagereinheit;Rechnungseinheit;Einkaufspreis;Rabatt;TotalExklMwSt;SteuerCode;Steuerbetrag;TotalInklMwSt;Waehrung;Ertragskonto;Kostenstelle;Gewicht;DokumentTyp;DokumentTypBezeichnung;DatumBelegbeiKasse;Adresse;Name;Land;Region;Sprache;Checkout;VoucherBon;VoucherKueche;VoucherGruppe
4089229;2110029;Apfel-Birnen 3.50;4;Obst;16;Äpfel/Birnen;;;3.50;0.77;KG;KG;0.00;0.00;2.63;11;0.07;2.70;CHF;3000;400;0.00;RGKSJON;Rechnung Kasse Jona;17.08.2017 - 16:34:49;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169604;500321;Apfel-Birnen Pausenapfel;4;Obst;16;Äpfel/Birnen;EIGEN;Eigen;0.50;2.00;STK;STK;0.00;0.00;0.93;10;0.07;1.00;CHF;3000;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:28:52;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169604;304103;Kuchen-/Gebäckstück 4 CHF;7;HofBäckerei;27;Gebäck;;;4.00;1.00; ; ;0.00;0.00;3.70;10;0.30;4.00;CHF;3221;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:28:52;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169604;303012;Buffet - Dessert S;8;HofKonditorei;29;Dessert;;;32.00;0.17;KG;KG;0.00;0.00;4.91;10;0.39;5.30;CHF;3221;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:28:52;1000001;Laufkunde;CH;ZH;D;1;0;;0
2169604;303012;Buffet - Dessert S;8;HofKonditorei;29;Dessert;;;23.00;0.16;KG;KG;0.00;0.00;3.47;10;0.28;3.75;CHF;3221;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:28:52;1000001;Laufkunde;CH;ZH;D;1;0;;0
2169605;305311;Süssmost 3dl;9;Getränke;40;Hoftee/Most;;;3.00;1.00;DL;DL;0.00;0.00;2.78;10;0.22;3.00;CHF;3210;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:29:26;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169605;303004;Dessert im Glas klein;8;HofKonditorei;29;Dessert;;;5.00;1.00; ; ;0.00;0.00;4.63;10;0.37;5.00;CHF;3221;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:29:26;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169606;7640125570113;Mineral Passugger 5dl;9;Getränke;41;Getränke alkoholfrei;FREMD;Fremd;3.90;1.00;FL;FL;0.00;0.00;3.61;10;0.29;3.90;CHF;3210;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:29:46;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169606;9810000018001;Glace Kübeli;2;Frischprodukte;30;Glace;FREMD;Fremd;3.90;1.00;STK;STK;0.00;0.00;3.61;10;0.29;3.90;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:29:46;1000001;Laufkunde;CH;ZH;D;0;0;;0
4089222;303012;Buffet - Dessert S;8;HofKonditorei;29;Dessert;;;32.00;0.10;KG;KG;0.00;0.00;3.10;10;0.25;3.35;CHF;3221;400;0.00;RGKSJON;Rechnung Kasse Jona;17.08.2017 - 16:25:08;1000001;Laufkunde;CH;ZH;D;1;0;;0
